氵|shuǐ|radical|water|1|7
讠|yán|radical|language and speech|1|7
钅|jīn|radical|metal|1|8
口|kǒu|radical|the mouth|1|8
辶|chuò|radical|walking|1|9
门|mén|radical|a room or a door|1|9
口|kǒu|radical|means being trapped or besieged|1|10
礻|shì|radical|a variant of "示",  deity, sacrificial rites and one's fortune|1|10
阝|fù|radical|a landform or location|1|11
亻|rén|radical|a person|1|11
女|nǚ|radical|women|1|12
饣|shí|radical|food|1|12
日|rì|radical|time|1|13
目|mù|radical|the eyes|1|13
月|yuè|radical|the human body or flesh|1|14
扌|shǒu|radical|an action related to a hand|1|14
艹|cǎo|radical|grass, trees or plants|1|15
宀|mián|radical|houses|1|15
⺩|yù|radical|jade|2|1
⻊|zú|radical|one's feet|2|1
⺮|zhú|radical|bamboo|2|2
欠|qiàn|radical|movements of the mouth|2|2
木|mù|radical|plants|2|3
⺉|dāo|radical|cutters or knives|2|3
纟|yāo|radical|silk|2|4
⺖|xīn|radical|ones mentality|2|4
⼦|zi|radical|children|2|5
广|guǎng|radical|buildings|2|5
⺨|quǎn|radical|animals|2|6
⺗|xin|radical|one's mental activities and emotions|2|6
⼻|chì|radical|the act of walking|2|7
攵|pū|radical|the act of whipping or beating|2|7
ㄡ|ōu|radical|variety of meanings|2|8
⼱|jīn|radical|cotton or silk products or textiles|2|8
⺩||radical|soil, land or buildings|2|9
⺣|biāo|radical|fire|2|9
⾛|zǒu|radical|running or walking|2|10
⽳|xué|radical|holes, caves or houses|2|10
疒|nè or chuáng|radical|diseases|2|11
冫|bīng|radical|ice or coldness|2|11
止|zhǐ|radical|toes|2|12
冂|jiōng|radical|relations among or images of things|2|12
⽄|jīn|radical|axes or cutting/whittling|2|13
⻚|yè|radical| head or face|2|13
⻗|yǔ|radical|clouds and rain|2|14
⻉|bèi|radical|money or utensils|2|14
山|shān|radical|names, types and forms of mountains and islands|2|15
大|dà|radical|people|2|15
